year,grouping,geography,geography_type,estimate,share
2020,Construction,Duwamish,MIC (2022 RTP),9968,0.140794938
2020,Manufacturing,Duwamish,MIC (2022 RTP),13939,0.196884093
2020,"Transportation, Distribution & Logistics (TDL)",Duwamish,MIC (2022 RTP),9568,0.135145061
2020,Warehousing & Wholesale,Duwamish,MIC (2022 RTP),8241,0.116401593
2020,Other Industrial,Duwamish,MIC (2022 RTP),5020,0.070905958
2020,Industrial,Duwamish,MIC (2022 RTP),46736,0.660131642
2020,Non-industrial,Duwamish,MIC (2022 RTP),24062,0.339868358
2020,Total,Duwamish,MIC (2022 RTP),70798,1
2005,Construction,Frederickson,MIC (2022 RTP),177,0.073566085
2005,Manufacturing,Frederickson,MIC (2022 RTP),1644,0.683291771
2005,"Transportation, Distribution & Logistics (TDL)",Frederickson,MIC (2022 RTP),24,0.009975062
2005,Warehousing & Wholesale,Frederickson,MIC (2022 RTP),264,0.109725686
2005,Other Industrial,Frederickson,MIC (2022 RTP),71,0.029509559
2005,Industrial,Frederickson,MIC (2022 RTP),2180,0.906068163
2005,Non-industrial,Frederickson,MIC (2022 RTP),226,0.093931837
2005,Total,Frederickson,MIC (2022 RTP),2406,1
2010,Construction,Frederickson,MIC (2022 RTP),282,0.084557721
2010,Manufacturing,Frederickson,MIC (2022 RTP),2212,0.663268366
2010,"Transportation, Distribution & Logistics (TDL)",Frederickson,MIC (2022 RTP),90,0.026986507
2010,Warehousing & Wholesale,Frederickson,MIC (2022 RTP),212,0.063568216
2010,Other Industrial,Frederickson,MIC (2022 RTP),101,0.030284858
2010,Industrial,Frederickson,MIC (2022 RTP),2897,0.868665667
2010,Non-industrial,Frederickson,MIC (2022 RTP),438,0.131334333
2010,Total,Frederickson,MIC (2022 RTP),3335,1
2015,Construction,Frederickson,MIC (2022 RTP),364,0.079615048
2015,Manufacturing,Frederickson,MIC (2022 RTP),2986,0.653105862
2015,"Transportation, Distribution & Logistics (TDL)",Frederickson,MIC (2022 RTP),96,0.020997375
2015,Warehousing & Wholesale,Frederickson,MIC (2022 RTP),282,0.06167979
2015,Other Industrial,Frederickson,MIC (2022 RTP),264,0.057742782
2015,Industrial,Frederickson,MIC (2022 RTP),3992,0.873140857
2015,Non-industrial,Frederickson,MIC (2022 RTP),580,0.126859143
2015,Total,Frederickson,MIC (2022 RTP),4572,1
2020,Construction,Frederickson,MIC (2022 RTP),374,0.069750093
2020,Manufacturing,Frederickson,MIC (2022 RTP),3177,0.592502797
2020,"Transportation, Distribution & Logistics (TDL)",Frederickson,MIC (2022 RTP),168,0.031331593
2020,Warehousing & Wholesale,Frederickson,MIC (2022 RTP),301,0.05613577
2020,Other Industrial,Frederickson,MIC (2022 RTP),350,0.065274151
2020,Industrial,Frederickson,MIC (2022 RTP),4370,0.814994405
2020,Non-industrial,Frederickson,MIC (2022 RTP),992,0.185005595
2020,Total,Frederickson,MIC (2022 RTP),5362,1
2005,Construction,Kent,MIC (2022 RTP),2561,0.067041885
2005,Manufacturing,Kent,MIC (2022 RTP),10976,0.287329843
2005,"Transportation, Distribution & Logistics (TDL)",Kent,MIC (2022 RTP),3489,0.091335079
2005,Warehousing & Wholesale,Kent,MIC (2022 RTP),9883,0.258717277
2005,Other Industrial,Kent,MIC (2022 RTP),1484,0.038848168
2005,Industrial,Kent,MIC (2022 RTP),28393,0.743272251
2005,Non-industrial,Kent,MIC (2022 RTP),9807,0.256727749
2005,Total,Kent,MIC (2022 RTP),38200,1
2010,Construction,Kent,MIC (2022 RTP),2508,0.066516377
2010,Manufacturing,Kent,MIC (2022 RTP),10775,0.285771118
2010,"Transportation, Distribution & Logistics (TDL)",Kent,MIC (2022 RTP),4592,0.121787561
2010,Warehousing & Wholesale,Kent,MIC (2022 RTP),9286,0.246280334
2010,Other Industrial,Kent,MIC (2022 RTP),1415,0.037528179
2010,Industrial,Kent,MIC (2022 RTP),28577,0.757910091
2010,Non-industrial,Kent,MIC (2022 RTP),9128,0.242089909
2010,Total,Kent,MIC (2022 RTP),37705,1
2015,Construction,Kent,MIC (2022 RTP),3857,0.092015173
2015,Manufacturing,Kent,MIC (2022 RTP),14160,0.337810435
2015,"Transportation, Distribution & Logistics (TDL)",Kent,MIC (2022 RTP),4296,0.102488251
2015,Warehousing & Wholesale,Kent,MIC (2022 RTP),9775,0.233198941
2015,Other Industrial,Kent,MIC (2022 RTP),2220,0.052961805
2015,Industrial,Kent,MIC (2022 RTP),34309,0.818498461
2015,Non-industrial,Kent,MIC (2022 RTP),7608,0.181501539
2015,Total,Kent,MIC (2022 RTP),41917,1
2020,Construction,Kent,MIC (2022 RTP),5627,0.115375941
2020,Manufacturing,Kent,MIC (2022 RTP),14314,0.293494085
2020,"Transportation, Distribution & Logistics (TDL)",Kent,MIC (2022 RTP),4077,0.083594759
2020,Warehousing & Wholesale,Kent,MIC (2022 RTP),12433,0.254926083
2020,Other Industrial,Kent,MIC (2022 RTP),2955,0.060589285
2020,Industrial,Kent,MIC (2022 RTP),39405,0.807959648
2020,Non-industrial,Kent,MIC (2022 RTP),9366,0.192040352
2020,Total,Kent,MIC (2022 RTP),48771,1
2005,Construction,North Tukwila,MIC (2022 RTP),142,0.011212887
2005,Manufacturing,North Tukwila,MIC (2022 RTP),,0
2005,"Transportation, Distribution & Logistics (TDL)",North Tukwila,MIC (2022 RTP),3551,0.280401137
2005,Warehousing & Wholesale,North Tukwila,MIC (2022 RTP),,0
2005,Other Industrial,North Tukwila,MIC (2022 RTP),66,0.005211623
2005,Industrial,North Tukwila,MIC (2022 RTP),11556,0.912507896
2005,Non-industrial,North Tukwila,MIC (2022 RTP),1108,0.087492104
2005,Total,North Tukwila,MIC (2022 RTP),12664,1
2010,Construction,North Tukwila,MIC (2022 RTP),255,0.018912705
2010,Manufacturing,North Tukwila,MIC (2022 RTP),,0
2010,"Transportation, Distribution & Logistics (TDL)",North Tukwila,MIC (2022 RTP),2390,0.177260254
2010,Warehousing & Wholesale,North Tukwila,MIC (2022 RTP),,0
2010,Other Industrial,North Tukwila,MIC (2022 RTP),61,0.004524216
2010,Industrial,North Tukwila,MIC (2022 RTP),10464,0.776088408
2010,Non-industrial,North Tukwila,MIC (2022 RTP),3019,0.223911592
2010,Total,North Tukwila,MIC (2022 RTP),13483,1
2015,Construction,North Tukwila,MIC (2022 RTP),612,0.044334975
2015,Manufacturing,North Tukwila,MIC (2022 RTP),,0
2015,"Transportation, Distribution & Logistics (TDL)",North Tukwila,MIC (2022 RTP),1874,0.135757751
2015,Warehousing & Wholesale,North Tukwila,MIC (2022 RTP),,0
2015,Other Industrial,North Tukwila,MIC (2022 RTP),88,0.006374964
2015,Industrial,North Tukwila,MIC (2022 RTP),10932,0.791944364
2015,Non-industrial,North Tukwila,MIC (2022 RTP),2872,0.208055636
2015,Total,North Tukwila,MIC (2022 RTP),13804,1
2020,Construction,North Tukwila,MIC (2022 RTP),630,0.055575159
2020,Manufacturing,North Tukwila,MIC (2022 RTP),,0
2020,"Transportation, Distribution & Logistics (TDL)",North Tukwila,MIC (2022 RTP),1982,0.174841214
