pdpurp,tmodetp,tour_d_rgc,toexpfac
Escort,SOV,Bothell Canyon Park,44.0
Escort,SOV,Bremerton,39.0
Escort,SOV,Burien,49.0
Escort,SOV,Cascade,37.0
Escort,SOV,Duwamish,347.0
Escort,SOV,Everett,143.0
Escort,SOV,Federal Way,16.0
Escort,SOV,Frederickson,13.0
Escort,SOV,Greater Downtown Kirkland,78.0
Escort,SOV,Issaquah,29.0
Escort,SOV,Kent,93.0
Escort,SOV,Kent MIC,229.0
Escort,SOV,Kirkland Totem Lake,93.0
Escort,SOV,Lakewood,57.0
Escort,SOV,Lynnwood,69.0
Escort,SOV,North Tukwila,23.0
Escort,SOV,Not in RGC,12247.0
Escort,SOV,Paine Field / Boeing Everett,87.0
Escort,SOV,Port of Tacoma,55.0
Escort,SOV,Puget Sound Industrial Center- Bremerton,1.0
Escort,SOV,Puyallup Downtown,77.0
Escort,SOV,Puyallup South Hill,48.0
Escort,SOV,Redmond Downtown,52.0
Escort,SOV,Redmond-Overlake,79.0
Escort,SOV,Renton,81.0
Escort,SOV,SeaTac,55.0
Escort,SOV,Seattle Downtown,520.0
Escort,SOV,Seattle First Hill/Capitol Hill,319.0
Escort,SOV,Seattle Northgate,73.0
Escort,SOV,Seattle South Lake Union,126.0
Escort,SOV,Seattle University Community,110.0
Escort,SOV,Seattle Uptown,94.0
Escort,SOV,Silverdale,54.0
Escort,SOV,Sumner Pacific,59.0
Escort,SOV,Tacoma Downtown,334.0
Escort,SOV,Tacoma Mall,77.0
Escort,SOV,Tukwila,112.0
Escort,SOV,University Place,55.0
Escort,HOV2,Auburn,958.0
Escort,HOV2,Ballard-Interbay,1750.0
Escort,HOV2,Bellevue,2279.0
Escort,HOV2,Bothell Canyon Park,1230.0
Escort,HOV2,Bremerton,1125.0
Escort,HOV2,Burien,875.0
Escort,HOV2,Cascade,1179.0
Escort,HOV2,Duwamish,4585.0
Escort,HOV2,Everett,2984.0
Escort,HOV2,Federal Way,301.0
Escort,HOV2,Frederickson,390.0
Escort,HOV2,Greater Downtown Kirkland,1164.0
Escort,HOV2,Issaquah,666.0
Escort,HOV2,Kent,1685.0
Escort,HOV2,Kent MIC,2988.0
Escort,HOV2,Kirkland Totem Lake,1610.0
Escort,HOV2,Lakewood,1047.0
Escort,HOV2,Lynnwood,1663.0
Escort,HOV2,North Tukwila,407.0
Escort,HOV2,Not in RGC,246778.0
Escort,HOV2,Paine Field / Boeing Everett,1250.0
Escort,HOV2,Port of Tacoma,703.0
Escort,HOV2,Puget Sound Industrial Center- Bremerton,19.0
Escort,HOV2,Puyallup Downtown,1333.0
Escort,HOV2,Puyallup South Hill,929.0
Escort,HOV2,Redmond Downtown,1485.0
Escort,HOV2,Redmond-Overlake,1217.0
Escort,HOV2,Renton,1551.0
Escort,HOV2,SeaTac,958.0
Escort,HOV2,Seattle Downtown,7422.0
Escort,HOV2,Seattle First Hill/Capitol Hill,4470.0
Escort,HOV2,Seattle Northgate,1026.0
Escort,HOV2,Seattle South Lake Union,1841.0
Escort,HOV2,Seattle University Community,1739.0
Escort,HOV2,Seattle Uptown,1532.0
Escort,HOV2,Silverdale,1823.0
Escort,HOV2,Sumner Pacific,847.0
Escort,HOV2,Tacoma Downtown,4565.0
Escort,HOV2,Tacoma Mall,1079.0
Escort,HOV2,Tukwila,1249.0
Escort,HOV2,University Place,1023.0
Escort,HOV3+,Auburn,1213.0
Escort,HOV3+,Ballard-Interbay,1411.0
Escort,HOV3+,Bellevue,1950.0
Escort,HOV3+,Bothell Canyon Park,1148.0
Escort,HOV3+,Bremerton,863.0
Escort,HOV3+,Burien,1219.0
Escort,HOV3+,Cascade,1263.0
Escort,HOV3+,Duwamish,4643.0
Escort,HOV3+,Everett,3314.0
Escort,HOV3+,Federal Way,380.0
Escort,HOV3+,Frederickson,461.0
Escort,HOV3+,Greater Downtown Kirkland,1144.0
Escort,HOV3+,Issaquah,586.0
Escort,HOV3+,Kent,2021.0
Escort,HOV3+,Kent MIC,3408.0
Escort,HOV3+,Kirkland Totem Lake,1513.0
Escort,HOV3+,Lakewood,1254.0
Escort,HOV3+,Lynnwood,1627.0
Escort,HOV3+,North Tukwila,549.0
Escort,HOV3+,Not in RGC,280677.0
Escort,HOV3+,Paine Field / Boeing Everett,1396.0
Escort,HOV3+,Port of Tacoma,720.0
Escort,HOV3+,Puget Sound Industrial Center- Bremerton,25.0
Escort,HOV3+,Puyallup Downtown,1600.0
Escort,HOV3+,Puyallup South Hill,952.0
Escort,HOV3+,Redmond Downtown,1547.0
Escort,HOV3+,Redmond-Overlake,1151.0
Escort,HOV3+,Renton,1879.0
Escort,HOV3+,SeaTac,1074.0
Escort,HOV3+,Seattle Downtown,5991.0
Escort,HOV3+,Seattle First Hill/Capitol Hill,4245.0
Escort,HOV3+,Seattle Northgate,906.0
Escort,HOV3+,Seattle South Lake Union,1423.0
Escort,HOV3+,Seattle University Community,1560.0
Escort,HOV3+,Seattle Uptown,1246.0
Escort,HOV3+,Silverdale,1748.0
Escort,HOV3+,Sumner Pacific,925.0
Escort,HOV3+,Tacoma Downtown,5048.0
Escort,HOV3+,Tacoma Mall,1049.0
Escort,HOV3+,Tukwila,1365.0
Escort,HOV3+,University Place,925.0
Escort,Transit,Ballard-Interbay,1.0
Escort,Transit,Bellevue,2.0
Escort,Transit,Bremerton,1.0
Escort,Transit,Duwamish,8.0
Escort,Transit,Everett,1.0
Escort,Transit,Kent MIC,3.0
Escort,Transit,Not in RGC,63.0
Escort,Transit,SeaTac,1.0
Escort,Transit,Seattle Downtown,46.0
Escort,Transit,Seattle First Hill/Capitol Hill,25.0
Escort,Transit,Seattle South Lake Union,5.0
Escort,Transit,Seattle University Community,1.0
Escort,Transit,Seattle Uptown,5.0
Escort,Transit,Tacoma Downtown,5.0
Escort,TNC,Auburn,3.0
Escort,TNC,Ballard-Interbay,3.0
Escort,TNC,Bellevue,31.0
Escort,TNC,Bothell Canyon Park,4.0
Escort,TNC,Bremerton,6.0
Escort,TNC,Cascade,2.0
Escort,TNC,Duwamish,23.0
Escort,TNC,Everett,15.0
Escort,TNC,Federal Way,1.0
Escort,TNC,Greater Downtown Kirkland,2.0
Escort,TNC,Issaquah,2.0
Escort,TNC,Kent,4.0
Escort,TNC,Kent MIC,16.0
Escort,TNC,Kirkland Totem Lake,4.0
Escort,TNC,Lynnwood,3.0
Escort,TNC,Not in RGC,476.0
Escort,TNC,Paine Field / Boeing Everett,9.0
Escort,TNC,Puyallup Downtown,1.0
Escort,TNC,Puyallup South Hill,2.0
Escort,TNC,Redmond Downtown,3.0
Escort,TNC,Redmond-Overlake,12.0
Escort,TNC,Renton,8.0
Escort,TNC,SeaTac,4.0
Escort,TNC,Seattle Downtown,151.0
Escort,TNC,Seattle First Hill/Capitol Hill,63.0
Escort,TNC,Seattle Northgate,5.0
Escort,TNC,Seattle South Lake Union,30.0
Escort,TNC,Seattle University Community,16.0
Escort,TNC,Seattle Uptown,22.0
Escort,TNC,Silverdale,2.0
Escort,TNC,Sumner Pacific,2.0
Escort,TNC,Tacoma Downtown,35.0
Escort,TNC,Tacoma Mall,2.0
Escort,TNC,Tukwila,6.0
Escort,TNC,University Place,1.0
Personal Business,Walk,Auburn,123.0
Personal Business,Walk,Ballard-Interbay,248.0
Personal Business,Walk,Bellevue,1022.0
Personal Business,Walk,Bothell Canyon Park,83.0
Personal Business,Walk,Bremerton,292.0
Personal Business,Walk,Burien,173.0
Personal Business,Walk,Cascade,56.0
Personal Business,Walk,Duwamish,253.0
Personal Business,Walk,Everett,820.0
Personal Business,Walk,Federal Way,58.0
Personal Business,Walk,Frederickson,16.0
Personal Business,Walk,Greater Downtown Kirkland,145.0
Personal Business,Walk,Issaquah,57.0
Personal Business,Walk,Kent,219.0
Personal Business,Walk,Kent MIC,174.0
Personal Business,Walk,Kirkland Totem Lake,159.0
Personal Business,Walk,Lakewood,147.0
Personal Business,Walk,Lynnwood,228.0
Personal Business,Walk,North Tukwila,23.0
Personal Business,Walk,Not in RGC,36317.0
Personal Business,Walk,Paine Field / Boeing Everett,93.0
Personal Business,Walk,Port of Tacoma,35.0
Personal Business,Walk,Puyallup Downtown,130.0
Personal Business,Walk,Puyallup South Hill,142.0
Personal Business,Walk,Redmond Downtown,227.0
Personal Business,Walk,Redmond-Overlake,218.0
Personal Business,Walk,Renton,170.0
Personal Business,Walk,SeaTac,139.0
Personal Business,Walk,Seattle Downtown,4358.0
Personal Business,Walk,Seattle First Hill/Capitol Hill,2284.0
Personal Business,Walk,Seattle Northgate,234.0
Personal Business,Walk,Seattle South Lake Union,971.0
Personal Business,Walk,Seattle University Community,729.0
Personal Business,Walk,Seattle Uptown,553.0
Personal Business,Walk,Silverdale,219.0
Personal Business,Walk,Sumner Pacific,26.0
Personal Business,Walk,Tacoma Downtown,1621.0
Personal Business,Walk,Tacoma Mall,161.0
Personal Business,Walk,Tukwila,80.0
Personal Business,Walk,University Place,198.0
Personal Business,Bike,Auburn,7.0
Personal Business,Bike,Ballard-Interbay,19.0
Personal Business,Bike,Bellevue,26.0
Personal Business,Bike,Bothell Canyon Park,7.0
Personal Business,Bike,Bremerton,6.0
Personal Business,Bike,Burien,8.0
Personal Business,Bike,Cascade,8.0
Personal Business,Bike,Duwamish,44.0
Personal Business,Bike,Everett,32.0
Personal Business,Bike,Federal Way,9.0
Personal Business,Bike,Frederickson,1.0
Personal Business,Bike,Greater Downtown Kirkland,11.0
Personal Business,Bike,Issaquah,8.0
Personal Business,Bike,Kent,7.0
Personal Business,Bike,Kent MIC,21.0
Personal Business,Bike,Kirkland Totem Lake,16.0
Personal Business,Bike,Lakewood,11.0
Personal Business,Bike,Lynnwood,16.0
Personal Business,Bike,North Tukwila,6.0
Personal Business,Bike,Not in RGC,2040.0
Personal Business,Bike,Paine Field / Boeing Everett,12.0
Personal Business,Bike,Port of Tacoma,8.0
Personal Business,Bike,Puyallup Downtown,7.0
Personal Business,Bike,Puyallup South Hill,11.0
Personal Business,Bike,Redmond Downtown,15.0
Personal Business,Bike,Redmond-Overlake,11.0
Personal Business,Bike,Renton,7.0
Personal Business,Bike,SeaTac,3.0
Personal Business,Bike,Seattle Downtown,225.0
Personal Business,Bike,Seattle First Hill/Capitol Hill,110.0
Personal Business,Bike,Seattle Northgate,18.0
Personal Business,Bike,Seattle South Lake Union,58.0
Personal Business,Bike,Seattle University Community,53.0
Personal Business,Bike,Seattle Uptown,48.0
Personal Business,Bike,Silverdale,17.0
Personal Business,Bike,Sumner Pacific,3.0
Personal Business,Bike,Tacoma Downtown,80.0
Personal Business,Bike,Tacoma Mall,11.0
Personal Business,Bike,Tukwila,16.0
Personal Business,Bike,University Place,5.0
Personal Business,SOV,Auburn,1225.0
Personal Business,SOV,Ballard-Interbay,1849.0
Personal Business,SOV,Bellevue,1945.0
Personal Business,SOV,Bothell Canyon Park,928.0
Personal Business,SOV,Bremerton,931.0
Personal Business,SOV,Burien,1364.0
Personal Business,SOV,Cascade,864.0
Personal Business,SOV,Duwamish,4262.0
Personal Business,SOV,Everett,3328.0
Personal Business,SOV,Federal Way,599.0
Personal Business,SOV,Frederickson,113.0
Personal Business,SOV,Greater Downtown Kirkland,1165.0
Personal Business,SOV,Issaquah,853.0
Personal Business,SOV,Kent,2226.0
Personal Business,SOV,Kent MIC,2826.0
Personal Business,SOV,Kirkland Totem Lake,1774.0
Personal Business,SOV,Lakewood,1360.0
Personal Business,SOV,Lynnwood,2168.0
Personal Business,SOV,North Tukwila,271.0
Personal Business,SOV,Not in RGC,226083.0
Personal Business,SOV,Paine Field / Boeing Everett,754.0
Personal Business,SOV,Port of Tacoma,530.0
Personal Business,SOV,Puget Sound Industrial Center- Bremerton,15.0
Personal Business,SOV,Puyallup Downtown,1742.0
Personal Business,SOV,Puyallup South Hill,1459.0
Personal Business,SOV,Redmond Downtown,2012.0
Personal Business,SOV,Redmond-Overlake,970.0
Personal Business,SOV,Renton,1847.0
Personal Business,SOV,SeaTac,1097.0
Personal Business,SOV,Seattle Downtown,5813.0
Personal Business,SOV,Seattle First Hill/Capitol Hill,4104.0
Personal Business,SOV,Seattle Northgate,1386.0
Personal Business,SOV,Seattle South Lake Union,1560.0
Personal Business,SOV,Seattle University Community,1974.0
Personal Business,SOV,Seattle Uptown,1214.0
Personal Business,SOV,Silverdale,2696.0
Personal Business,SOV,Sumner Pacific,255.0
Personal Business,SOV,Tacoma Downtown,5567.0
Personal Business,SOV,Tacoma Mall,1542.0
Personal Business,SOV,Tukwila,1923.0
Personal Business,SOV,University Place,1183.0
Personal Business,HOV2,Auburn,908.0
Personal Business,HOV2,Ballard-Interbay,1117.0
Personal Business,HOV2,Bellevue,1871.0
Personal Business,HOV2,Bothell Canyon Park,554.0
Personal Business,HOV2,Bremerton,688.0
Personal Business,HOV2,Burien,906.0
Personal Business,HOV2,Cascade,575.0
Personal Business,HOV2,Duwamish,3055.0
Personal Business,HOV2,Everett,2644.0
Personal Business,HOV2,Federal Way,374.0
Personal Business,HOV2,Frederickson,110.0
Personal Business,HOV2,Greater Downtown Kirkland,782.0
Personal Business,HOV2,Issaquah,556.0
Personal Business,HOV2,Kent,1666.0
Personal Business,HOV2,Kent MIC,1882.0
Personal Business,HOV2,Kirkland Totem Lake,1134.0
Personal Business,HOV2,Lakewood,998.0
Personal Business,HOV2,Lynnwood,1490.0
Personal Business,HOV2,North Tukwila,218.0
Personal Business,HOV2,Not in RGC,152837.0
Personal Business,HOV2,Paine Field / Boeing Everett,545.0
Personal Business,HOV2,Port of Tacoma,385.0
Personal Business,HOV2,Puget Sound Industrial Center- Bremerton,10.0
Personal Business,HOV2,Puyallup Downtown,1272.0
Personal Business,HOV2,Puyallup South Hill,1063.0
Personal Business,HOV2,Redmond Downtown,1243.0
Personal Business,HOV2,Redmond-Overlake,593.0
Personal Business,HOV2,Renton,1199.0
Personal Business,HOV2,SeaTac,761.0
Personal Business,HOV2,Seattle Downtown,5423.0
Personal Business,HOV2,Seattle First Hill/Capitol Hill,3330.0
Personal Business,HOV2,Seattle Northgate,788.0
Personal Business,HOV2,Seattle South Lake Union,1261.0
Personal Business,HOV2,Seattle University Community,1534.0
Personal Business,HOV2,Seattle Uptown,1004.0
Personal Business,HOV2,Silverdale,1677.0
Personal Business,HOV2,Sumner Pacific,203.0
Personal Business,HOV2,Tacoma Downtown,4874.0
Personal Business,HOV2,Tacoma Mall,1138.0
Personal Business,HOV2,Tukwila,1315.0
Personal Business,HOV2,University Place,835.0
Personal Business,HOV3+,Auburn,774.0
Personal Business,HOV3+,Ballard-Interbay,804.0
Personal Business,HOV3+,Bellevue,1684.0
Personal Business,HOV3+,Bothell Canyon Park,489.0
Personal Business,HOV3+,Bremerton,505.0
Personal Business,HOV3+,Burien,775.0
Personal Business,HOV3+,Cascade,495.0
Personal Business,HOV3+,Duwamish,2435.0
Personal Business,HOV3+,Everett,2422.0
Personal Business,HOV3+,Federal Way,371.0
Personal Business,HOV3+,Frederickson,74.0
Personal Business,HOV3+,Greater Downtown Kirkland,553.0
Personal Business,HOV3+,Issaquah,489.0
Personal Business,HOV3+,Kent,1421.0
Personal Business,HOV3+,Kent MIC,1642.0
Personal Business,HOV3+,Kirkland Totem Lake,862.0
Personal Business,HOV3+,Lakewood,749.0
Personal Business,HOV3+,Lynnwood,1126.0
Personal Business,HOV3+,North Tukwila,167.0
Personal Business,HOV3+,Not in RGC,124463.0
Personal Business,HOV3+,Paine Field / Boeing Everett,430.0
Personal Business,HOV3+,Port of Tacoma,313.0
Personal Business,HOV3+,Puget Sound Industrial Center- Bremerton,12.0
Personal Business,HOV3+,Puyallup Downtown,1045.0
Personal Business,HOV3+,Puyallup South Hill,881.0
Personal Business,HOV3+,Redmond Downtown,1090.0
Personal Business,HOV3+,Redmond-Overlake,502.0
Personal Business,HOV3+,Renton,1060.0
Personal Business,HOV3+,SeaTac,667.0
Personal Business,HOV3+,Seattle Downtown,5120.0
Personal Business,HOV3+,Seattle First Hill/Capitol Hill,2745.0
Personal Business,HOV3+,Seattle Northgate,587.0
Personal Business,HOV3+,Seattle South Lake Union,1028.0
Personal Business,HOV3+,Seattle University Community,1245.0
Personal Business,HOV3+,Seattle Uptown,749.0
Personal Business,HOV3+,Silverdale,1322.0
Personal Business,HOV3+,Sumner Pacific,165.0
Personal Business,HOV3+,Tacoma Downtown,4068.0
Personal Business,HOV3+,Tacoma Mall,906.0
Personal Business,HOV3+,Tukwila,1146.0
Personal Business,HOV3+,University Place,615.0
Personal Business,Transit,Auburn,40.0
Personal Business,Transit,Ballard-Interbay,237.0
Personal Business,Transit,Bellevue,383.0
Personal Business,Transit,Bothell Canyon Park,9.0
Personal Business,Transit,Bremerton,2.0
Personal Business,Transit,Burien,119.0
Personal Business,Transit,Duwamish,777.0
Personal Business,Transit,Everett,38.0
Personal Business,Transit,Federal Way,23.0
Personal Business,Transit,Greater Downtown Kirkland,59.0
Personal Business,Transit,Issaquah,21.0
Personal Business,Transit,Kent,116.0
Personal Business,Transit,Kent MIC,101.0
Personal Business,Transit,Kirkland Totem Lake,75.0
Personal Business,Transit,Lakewood,2.0
Personal Business,Transit,Lynnwood,20.0
Personal Business,Transit,North Tukwila,18.0
Personal Business,Transit,Not in RGC,7972.0
Personal Business,Transit,Paine Field / Boeing Everett,5.0
Personal Business,Transit,Port of Tacoma,4.0
Personal Business,Transit,Puyallup Downtown,13.0
Personal Business,Transit,Puyallup South Hill,5.0
Personal Business,Transit,Redmond Downtown,90.0
Personal Business,Transit,Redmond-Overlake,58.0
Personal Business,Transit,Renton,122.0
Personal Business,Transit,SeaTac,164.0
Personal Business,Transit,Seattle Downtown,6505.0
Personal Business,Transit,Seattle First Hill/Capitol Hill,2138.0
Personal Business,Transit,Seattle Northgate,130.0
Personal Business,Transit,Seattle South Lake Union,917.0
Personal Business,Transit,Seattle University Community,468.0
Personal Business,Transit,Seattle Uptown,414.0
Personal Business,Transit,Silverdale,3.0
Personal Business,Transit,Tacoma Downtown,196.0
Personal Business,Transit,Tacoma Mall,9.0
Personal Business,Transit,Tukwila,160.0
Personal Business,Transit,University Place,3.0
Personal Business,TNC,Auburn,20.0
Personal Business,TNC,Ballard-Interbay,47.0
Personal Business,TNC,Bellevue,169.0
Personal Business,TNC,Bothell Canyon Park,7.0
Personal Business,TNC,Bremerton,48.0
Personal Business,TNC,Burien,21.0
Personal Business,TNC,Cascade,12.0
Personal Business,TNC,Duwamish,100.0
Personal Business,TNC,Everett,109.0
Personal Business,TNC,Federal Way,3.0
Personal Business,TNC,Frederickson,1.0
Personal Business,TNC,Greater Downtown Kirkland,22.0
Personal Business,TNC,Issaquah,15.0
Personal Business,TNC,Kent,26.0
Personal Business,TNC,Kent MIC,58.0
Personal Business,TNC,Kirkland Totem Lake,25.0
Personal Business,TNC,Lakewood,16.0
Personal Business,TNC,Lynnwood,41.0
Personal Business,TNC,North Tukwila,1.0
Personal Business,TNC,Not in RGC,3347.0
Personal Business,TNC,Paine Field / Boeing Everett,21.0
Personal Business,TNC,Port of Tacoma,8.0
Personal Business,TNC,Puyallup Downtown,24.0
Personal Business,TNC,Puyallup South Hill,34.0
Personal Business,TNC,Redmond Downtown,27.0
Personal Business,TNC,Redmond-Overlake,31.0
Personal Business,TNC,Renton,39.0
Personal Business,TNC,SeaTac,20.0
Personal Business,TNC,Seattle Downtown,1019.0
Personal Business,TNC,Seattle First Hill/Capitol Hill,494.0
Personal Business,TNC,Seattle Northgate,42.0
Personal Business,TNC,Seattle South Lake Union,213.0
Personal Business,TNC,Seattle University Community,110.0
Personal Business,TNC,Seattle Uptown,115.0
Personal Business,TNC,Silverdale,30.0
Personal Business,TNC,Sumner Pacific,4.0
Personal Business,TNC,Tacoma Downtown,230.0
Personal Business,TNC,Tacoma Mall,21.0
Personal Business,TNC,Tukwila,40.0
Personal Business,TNC,University Place,12.0
Shop,Walk,Auburn,189.0
Shop,Walk,Ballard-Interbay,556.0
Shop,Walk,Bellevue,1871.0
Shop,Walk,Bothell Canyon Park,147.0
Shop,Walk,Bremerton,352.0
Shop,Walk,Burien,429.0
Shop,Walk,Cascade,95.0
Shop,Walk,Duwamish,475.0
Shop,Walk,Everett,945.0
Shop,Walk,Federal Way,226.0
Shop,Walk,Frederickson,34.0
Shop,Walk,Greater Downtown Kirkland,290.0
Shop,Walk,Issaquah,230.0
Shop,Walk,Kent,309.0
Shop,Walk,Kent MIC,277.0
Shop,Walk,Kirkland Totem Lake,438.0
Shop,Walk,Lakewood,428.0
Shop,Walk,Lynnwood,695.0
Shop,Walk,North Tukwila,70.0
Shop,Walk,Not in RGC,41459.0
Shop,Walk,Paine Field / Boeing Everett,59.0
Shop,Walk,Port of Tacoma,25.0
Shop,Walk,Puyallup Downtown,112.0
Shop,Walk,Puyallup South Hill,410.0
Shop,Walk,Redmond Downtown,414.0
Shop,Walk,Redmond-Overlake,284.0
Shop,Walk,Renton,248.0
Shop,Walk,SeaTac,109.0
Shop,Walk,Seattle Downtown,7657.0
Shop,Walk,Seattle First Hill/Capitol Hill,2231.0
Shop,Walk,Seattle Northgate,813.0
Shop,Walk,Seattle South Lake Union,2538.0
Shop,Walk,Seattle University Community,2007.0
Shop,Walk,Seattle Uptown,479.0
Shop,Walk,Silverdale,349.0
Shop,Walk,Sumner Pacific,48.0
Shop,Walk,Tacoma Downtown,725.0
Shop,Walk,Tacoma Mall,569.0
Shop,Walk,Tukwila,236.0
Shop,Walk,University Place,382.0
Shop,Bike,Auburn,8.0
Shop,Bike,Ballard-Interbay,30.0
Shop,Bike,Bellevue,58.0
Shop,Bike,Bothell Canyon Park,11.0
Shop,Bike,Bremerton,16.0
Shop,Bike,Burien,21.0
Shop,Bike,Cascade,4.0
Shop,Bike,Duwamish,60.0
Shop,Bike,Everett,31.0
Shop,Bike,Federal Way,15.0
Shop,Bike,Frederickson,5.0
Shop,Bike,Greater Downtown Kirkland,10.0
Shop,Bike,Issaquah,21.0
Shop,Bike,Kent,9.0
Shop,Bike,Kent MIC,16.0
Shop,Bike,Kirkland Totem Lake,12.0
Shop,Bike,Lakewood,22.0
Shop,Bike,Lynnwood,55.0
Shop,Bike,North Tukwila,6.0
Shop,Bike,Not in RGC,1924.0
Shop,Bike,Paine Field / Boeing Everett,3.0
Shop,Bike,Port of Tacoma,5.0
Shop,Bike,Puyallup Downtown,8.0
Shop,Bike,Puyallup South Hill,21.0
Shop,Bike,Redmond Downtown,21.0
Shop,Bike,Redmond-Overlake,8.0
Shop,Bike,Renton,5.0
Shop,Bike,SeaTac,1.0
Shop,Bike,Seattle Downtown,376.0
Shop,Bike,Seattle First Hill/Capitol Hill,89.0
Shop,Bike,Seattle Northgate,32.0
Shop,Bike,Seattle South Lake Union,137.0
Shop,Bike,Seattle University Community,87.0
Shop,Bike,Seattle Uptown,22.0
Shop,Bike,Silverdale,20.0
Shop,Bike,Tacoma Downtown,30.0
Shop,Bike,Tacoma Mall,46.0
Shop,Bike,Tukwila,27.0
Shop,Bike,University Place,17.0
Shop,SOV,Auburn,1521.0
Shop,SOV,Ballard-Interbay,2953.0
Shop,SOV,Bellevue,2882.0
Shop,SOV,Bothell Canyon Park,1249.0
Shop,SOV,Bremerton,602.0
Shop,SOV,Burien,2307.0
Shop,SOV,Cascade,1139.0
Shop,SOV,Duwamish,6092.0
Shop,SOV,Everett,2321.0
Shop,SOV,Federal Way,1504.0
Shop,SOV,Frederickson,272.0
Shop,SOV,Greater Downtown Kirkland,1669.0
Shop,SOV,Issaquah,3361.0
Shop,SOV,Kent,2307.0
Shop,SOV,Kent MIC,3588.0
Shop,SOV,Kirkland Totem Lake,3127.0
Shop,SOV,Lakewood,3760.0
Shop,SOV,Lynnwood,6260.0
Shop,SOV,North Tukwila,811.0
Shop,SOV,Not in RGC,244625.0
Shop,SOV,Paine Field / Boeing Everett,322.0
Shop,SOV,Port of Tacoma,207.0
Shop,SOV,Puget Sound Industrial Center- Bremerton,10.0
Shop,SOV,Puyallup Downtown,684.0
Shop,SOV,Puyallup South Hill,3806.0
Shop,SOV,Redmond Downtown,2839.0
Shop,SOV,Redmond-Overlake,995.0
Shop,SOV,Renton,1927.0
Shop,SOV,SeaTac,524.0
Shop,SOV,Seattle Downtown,7006.0
Shop,SOV,Seattle First Hill/Capitol Hill,2691.0
Shop,SOV,Seattle Northgate,3034.0
Shop,SOV,Seattle South Lake Union,2760.0
Shop,SOV,Seattle University Community,2889.0
Shop,SOV,Seattle Uptown,610.0
Shop,SOV,Silverdale,3825.0
Shop,SOV,Sumner Pacific,413.0
Shop,SOV,Tacoma Downtown,710.0
Shop,SOV,Tacoma Mall,4555.0
Shop,SOV,Tukwila,4031.0
Shop,SOV,University Place,1553.0
Shop,HOV2,Auburn,933.0
Shop,HOV2,Ballard-Interbay,1419.0
Shop,HOV2,Bellevue,2158.0
Shop,HOV2,Bothell Canyon Park,685.0
Shop,HOV2,Bremerton,371.0
Shop,HOV2,Burien,1276.0
Shop,HOV2,Cascade,673.0
Shop,HOV2,Duwamish,3523.0
Shop,HOV2,Everett,1504.0
Shop,HOV2,Federal Way,918.0
Shop,HOV2,Frederickson,162.0
Shop,HOV2,Greater Downtown Kirkland,842.0
Shop,HOV2,Issaquah,1892.0
Shop,HOV2,Kent,1474.0
Shop,HOV2,Kent MIC,2213.0
Shop,HOV2,Kirkland Totem Lake,1733.0
Shop,HOV2,Lakewood,2393.0
Shop,HOV2,Lynnwood,3783.0
Shop,HOV2,North Tukwila,474.0
Shop,HOV2,Not in RGC,139823.0
Shop,HOV2,Paine Field / Boeing Everett,175.0
Shop,HOV2,Port of Tacoma,127.0
Shop,HOV2,Puget Sound Industrial Center- Bremerton,7.0
Shop,HOV2,Puyallup Downtown,399.0
Shop,HOV2,Puyallup South Hill,2327.0
Shop,HOV2,Redmond Downtown,1526.0
Shop,HOV2,Redmond-Overlake,510.0
Shop,HOV2,Renton,1088.0
Shop,HOV2,SeaTac,312.0
Shop,HOV2,Seattle Downtown,5507.0
Shop,HOV2,Seattle First Hill/Capitol Hill,1653.0
Shop,HOV2,Seattle Northgate,1556.0
Shop,HOV2,Seattle South Lake Union,1898.0
Shop,HOV2,Seattle University Community,1878.0
Shop,HOV2,Seattle Uptown,382.0
Shop,HOV2,Silverdale,2130.0
Shop,HOV2,Sumner Pacific,230.0
Shop,HOV2,Tacoma Downtown,477.0
Shop,HOV2,Tacoma Mall,2914.0
Shop,HOV2,Tukwila,2441.0
Shop,HOV2,University Place,809.0
Shop,HOV3+,Auburn,771.0
Shop,HOV3+,Ballard-Interbay,917.0
Shop,HOV3+,Bellevue,1959.0
Shop,HOV3+,Bothell Canyon Park,579.0
Shop,HOV3+,Bremerton,349.0
Shop,HOV3+,Burien,1031.0
Shop,HOV3+,Cascade,581.0
Shop,HOV3+,Duwamish,2891.0
Shop,HOV3+,Everett,1355.0
Shop,HOV3+,Federal Way,733.0
Shop,HOV3+,Frederickson,154.0
Shop,HOV3+,Greater Downtown Kirkland,676.0
Shop,HOV3+,Issaquah,1561.0
Shop,HOV3+,Kent,1173.0
Shop,HOV3+,Kent MIC,1886.0
Shop,HOV3+,Kirkland Totem Lake,1275.0
Shop,HOV3+,Lakewood,1847.0
Shop,HOV3+,Lynnwood,3106.0
Shop,HOV3+,North Tukwila,404.0
Shop,HOV3+,Not in RGC,114363.0
Shop,HOV3+,Paine Field / Boeing Everett,170.0
Shop,HOV3+,Port of Tacoma,100.0
Shop,HOV3+,Puget Sound Industrial Center- Bremerton,6.0
Shop,HOV3+,Puyallup Downtown,338.0
Shop,HOV3+,Puyallup South Hill,2133.0
Shop,HOV3+,Redmond Downtown,1242.0
Shop,HOV3+,Redmond-Overlake,433.0
Shop,HOV3+,Renton,873.0
Shop,HOV3+,SeaTac,258.0
