year,geography,geography_type,grouping,estimate,concept,share,data_year
2020,Tacoma Mall,Regional Growth Center (12/12/2023),Housing Units,3230,Center Overview,1,2020
2021,Tacoma Mall,Regional Growth Center (12/12/2023),Housing Units,3240,Center Overview,1,2021
2022,Tacoma Mall,Regional Growth Center (12/12/2023),Housing Units,3260,Center Overview,1,2022
2010,Tacoma Mall,Regional Growth Center (12/12/2023),Population,4020,Center Overview,1,2010
2020,Tacoma Mall,Regional Growth Center (12/12/2023),Population,6280,Center Overview,1,2020
2021,Tacoma Mall,Regional Growth Center (12/12/2023),Population,6300,Center Overview,1,2021
2022,Tacoma Mall,Regional Growth Center (12/12/2023),Population,6340,Center Overview,1,2022
2010,Tukwila,Regional Growth Center (12/12/2023),Housing Units,0,Center Overview,1,2010
2020,Tukwila,Regional Growth Center (12/12/2023),Housing Units,520,Center Overview,1,2020
2021,Tukwila,Regional Growth Center (12/12/2023),Housing Units,560,Center Overview,1,2021
2022,Tukwila,Regional Growth Center (12/12/2023),Housing Units,570,Center Overview,1,2022
2010,Tukwila,Regional Growth Center (12/12/2023),Population,10,Center Overview,1,2010
2020,Tukwila,Regional Growth Center (12/12/2023),Population,500,Center Overview,1,2020
2021,Tukwila,Regional Growth Center (12/12/2023),Population,590,Center Overview,1,2021
2022,Tukwila,Regional Growth Center (12/12/2023),Population,620,Center Overview,1,2022
2010,University Place,Regional Growth Center (12/12/2023),Housing Units,2830,Center Overview,1,2010
2020,University Place,Regional Growth Center (12/12/2023),Housing Units,3050,Center Overview,1,2020
2021,University Place,Regional Growth Center (12/12/2023),Housing Units,3100,Center Overview,1,2021
2022,University Place,Regional Growth Center (12/12/2023),Housing Units,3220,Center Overview,1,2022
2010,University Place,Regional Growth Center (12/12/2023),Population,5530,Center Overview,1,2010
2020,University Place,Regional Growth Center (12/12/2023),Population,6530,Center Overview,1,2020
2021,University Place,Regional Growth Center (12/12/2023),Population,6620,Center Overview,1,2021
2022,University Place,Regional Growth Center (12/12/2023),Population,6830,Center Overview,1,2022
