year,center,Const/Res,FIRE,Manufacturing,Retail,Services,WTU,Government,Public Education,Total
2018,Lynnwood,212,1242,73,4532,6195,201,95,0,12550
2018,Puyallup Downtown,130,106,20,179,1750,24,284,396,2889
2018,Puyallup South Hill,29,317,3,2233,3481,163,139,306,6669
2018,Redmond Downtown,70,406,83,1180,7171,119,767,276,10071
2018,Redmond-Overlake,105,S,61,S,S,99,0,0,26991
2018,Renton,487,626,S,763,2666,S,762,176,17865
2018,SeaTac,107,781,23,86,5079,9906,229,0,16211
2018,Seattle Downtown,3306,20495,2518,10072,117756,6022,23796,117,184081
2018,Seattle First Hill/Capitol Hill,153,1230,238,2091,31716,347,7097,1051,43924
2018,Seattle Northgate,121,658,49,2059,9180,146,102,0,12314
2018,Seattle South Lake Union,1278,1473,S,S,17715,604,431,1,62905
2018,Seattle University Community,107,584,117,2670,5943,173,135,26318,36047
2018,Seattle Uptown,71,785,209,541,9809,1805,1551,35,14805
2018,Silverdale,79,693,19,2806,4695,39,122,445,8899
2018,Tacoma Downtown,329,4206,797,469,26108,509,3178,1697,37293
2018,Tacoma Mall,229,432,109,3112,2690,451,1816,40,8878
2018,Tukwila,749,399,2289,6219,7800,1771,362,0,19588
2018,University Place,238,292,57,729,2177,112,271,0,3876
2018,RGC Total,11494,46135,23996,97505,365973,28559,67691,32012,673366
2019,Auburn,11,118,154,258,1993,154,426,36,3152
2019,Bellevue,1563,6571,210,5147,38158,2235,1185,0,55068
2019,Bothell Canyon Park,193,1358,2878,775,4667,553,232,29,10684
2019,Bremerton,25,296,115,88,1693,38,14862,0,17117
2019,Burien,216,200,51,1295,2972,125,352,168,5381
2019,Everett,371,977,373,663,5539,1173,3652,279,13027
2019,Federal Way,0,83,0,1075,1702,0,0,0,2860
2019,Greater Downtown Kirkland,610,357,188,1222,7818,336,147,67,10745
2019,Issaquah,113,176,132,2121,8125,642,109,0,11418
2019,Kent,62,219,202,318,2002,15,1341,109,4267
2019,Kirkland Totem Lake,634,345,139,2104,5516,555,4621,494,14409
2019,Lakewood,S,479,S,1337,2971,18,273,0,5125
2019,Lynnwood,264,1169,82,4500,6725,251,143,0,13135
2019,Puyallup Downtown,117,109,S,S,S,23,273,410,2928
2019,Puyallup South Hill,S,339,S,2159,3294,212,92,307,6469
2019,Redmond Downtown,79,485,108,1149,7612,159,759,286,10636
2019,Redmond-Overlake,80,401,S,417,S,99,0,0,28071
2019,Renton,S,639,S,808,2685,116,625,178,18127
2019,SeaTac,83,749,21,98,5224,10442,218,0,16835
2019,Seattle Downtown,2937,20464,2538,10356,126355,6569,23176,99,192493
2019,Seattle First Hill/Capitol Hill,119,1277,238,2201,34238,399,7308,1033,46812
2019,Seattle Northgate,120,611,44,1965,8852,124,53,0,11770
2019,Seattle South Lake Union,1290,1623,S,S,15272,637,517,1,65683
2019,Seattle University Community,126,548,117,2737,6147,160,123,26437,36396
2019,Seattle Uptown,89,944,208,529,9855,1830,1347,37,14838
2019,Silverdale,97,655,23,2694,4698,36,127,450,8779
2019,Tacoma Downtown,363,3700,807,560,26945,475,3168,1657,37673
2019,Tacoma Mall,268,477,92,2976,2831,441,1559,37,8682
2019,Tukwila,771,359,2229,6131,7970,1710,371,0,19542
2019,University Place,178,249,48,767,2124,111,331,0,3810
2019,RGC Total,11340,45978,24080,102619,382772,29637,67388,32114,695930
2020,Auburn,13,114,150,248,2034,177,415,40,3190
2020,Bellevue,1255,6838,183,4820,34906,2575,1137,0,51714
2020,Bothell Canyon Park,197,1293,2974,820,5118,552,242,29,11225
2020,Bremerton,50,324,112,52,1841,34,15332,0,17745
2020,Burien,290,203,55,1326,3115,116,328,183,5615
2020,Everett,564,1089,381,634,5119,1252,3814,287,13140
2020,Federal Way,0,81,0,971,1612,0,0,0,2663
2020,Greater Downtown Kirkland,529,349,198,1135,8060,348,133,69,10821
2020,Issaquah,110,186,58,2084,8604,588,100,0,11730
2020,Kent,63,171,193,321,2069,29,1318,119,4282
2020,Kirkland Totem Lake,698,354,130,3659,5485,630,4935,491,16383
2020,Lakewood,S,526,S,1223,2985,19,277,0,5072
2020,Lynnwood,208,1183,80,4516,6537,287,178,0,12988
2020,Puyallup Downtown,136,127,25,S,S,S,296,414,S
2020,Puyallup South Hill,S,272,S,2313,3373,188,96,304,6617
2020,Redmond Downtown,164,464,102,914,8166,165,728,324,11027
2020,Redmond-Overlake,S,582,78,413,S,106,0,0,S
2020,Renton,526,645,S,674,2730,S,651,165,17342
2020,SeaTac,90,753,19,88,6349,10545,189,0,18033
